Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","0402-SQUARE",-154.500000,-101.600000,-90.000000,bottom
"J4","Molex 502494-0470","Molex_CLIK-Mate_502494-0470_1x04-1MP_P2.00mm_Horizontal",-160.650000,-98.000000,-90.000000,bottom
"R27","220Ω","0402-SQUARE",-138.381100,-101.128600,0.000000,bottom
"R37","220Ω","0402-SQUARE",-138.381100,-95.878600,0.000000,bottom
"R38","220Ω","0402-SQUARE",-148.631100,-98.503600,0.000000,bottom
"C13","100nF","0402-SQUARE",142.881100,-94.003600,90.000000,top
"C14","100nF","0402-SQUARE",144.131100,-94.003600,90.000000,top
"C15","100nF","0402-SQUARE",144.131100,-98.503600,90.000000,top
"C16","100nF","0402-SQUARE",142.881100,-99.253600,90.000000,top
"C17","100nF","0402-SQUARE",153.900000,-96.300000,0.000000,top
"C18","100nF","0402-SQUARE",153.900000,-97.753600,0.000000,top
"C19","100nF","0402-SQUARE",133.256100,-96.878600,0.000000,top
"C20","100nF","0402-SQUARE",133.256100,-98.128600,0.000000,top
"C21","100nF","0402-SQUARE",133.256100,-101.878600,0.000000,top
"C22","100nF","0402-SQUARE",133.256100,-103.128600,0.000000,top
"C23","100nF","0402-SQUARE",148.450000,-101.878600,0.000000,top
"C24","100nF","0402-SQUARE",150.950000,-101.878600,180.000000,top
"C52","1µF","0603",154.100000,-94.600000,0.000000,top
"C54","1µF","0603",146.300000,-93.100000,90.000000,top
"IC3","LMH6702","SO08",138.381100,-100.503600,-90.000000,top
"IC4","LMH6702","SO08",148.631100,-98.503600,-90.000000,top
"IC5","LMH6702","SO08",138.381100,-95.253600,-90.000000,top
"J3","HEADER-1X2CARD-EDGE","CARD_EDGE_PADS-1X2",126.679050,-98.030000,90.000000,top
"R20","150Ω","0402-SQUARE",129.977950,-99.726400,-45.000000,top
"R22","1.1kΩ","0402-SQUARE",143.506100,-101.128600,0.000000,top
"R26","220Ω","0402-SQUARE",144.756100,-102.378600,0.000000,top
"R28","150Ω","0402-SQUARE",129.877950,-96.298300,45.000000,top
"R30","50Ω","0402-SQUARE",153.900000,-99.200000,0.000000,top
"R32","1.1kΩ","0402-SQUARE",143.506100,-95.878600,0.000000,top
"X2","SMA--BU-SMA-H","SMA_Molex_73251-1153_EdgeMount_Horizontal_new",168.810000,-98.000000,180.000000,top
